store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
226,Zwijndrecht,C ,3332,0,0,Zwijndrecht,Zwijndrecht,Zuid-Holland,middle,344
234,Almere-Buiten,B ,1334,0,0,Almere,Almere,Flevoland,north,269
174,Coevorden,B ,7741,0,0,Coevorden,Coevorden,Drenthe,north,279
228,Huissen,A ,6851,0,0,Huissen,Lingewaard,Gelderland,south,356
153,Raalte,B ,8102,0,0,Raalte,Raalte,Overijssel,north,278
379,Schiphol-Horeca,AA,1118,0,1,Luchthaven Schiphol,Haarlemmermeer,Noord-Holland,north,240
347,Wateringen - Dorp,A ,2291,0,0,Wateringen,Westland,Zuid-Holland,middle,210
364,Scheveningen Promenade,AA,2586,1,0,Den Haag,s Gravenhage,Zuid-Holland,middle,210
209,Middelharnis,B ,3241,0,0,Middelharnis,Middelharnis,Zuid-Holland,middle,310
337,Delft de Hoven Passage,A ,2624,0,0,Delft,Delft,Zuid-Holland,middle,344
338,Beek en Donk,AA,5741,0,0,Beek en Donk,Laarbeek,Noord-Brabant,south,375
297,Wierden,A ,7642,0,0,Wierden,Wierden,Overijssel,north,290
232,Amersfoort Vathorst,A ,3825,0,0,Amersfoort,Amersfoort,Utrecht,middle,260
213,Panningen,B ,5981,0,0,Panningen,Helden,Limburg,south,391
295,Den Haag - Loosduinen,A ,2552,0,0,Den Haag,s Gravenhage,Zuid-Holland,middle,210
324,Uithuizen,A ,9981,0,0,Uithuizen,Eemsmond,Groningen,north,280
116,Drachten,C ,9203,0,0,Drachten,Smallingerland,Friesland,north,270
632,Waalre,A ,5582,0,0,Waalre,Waalre,Noord-Brabant,south,370
291,Wezep,A ,8091,0,0,Wezep,Oldebroek,Gelderland,middle,278
301,Bergeijk,A ,5571,0,0,Bergeijk,Bergeijk,Noord-Brabant,south,370
304,Nuenen,A ,5671,0,0,Nuenen,Nuenen,Noord-Brabant,south,370
61,Gouda,C ,2801,0,0,Gouda,Gouda,Zuid-Holland,middle,348
385,Utrecht-Amsterdamse Straatweg,AA,3551,0,0,Utrecht,Utrecht,Utrecht,middle,260
849,Almelo-Ootmarsumsestraat,AA,7603,0,0,Almelo,Almelo,Overijssel,north,290
316,Vianen,A ,4132,0,0,Vianen (UT),Vianen,Utrecht,middle,356
150,Bolsward,B ,8701,0,0,Bolsward,Bolsward,Friesland,north,270
309,Didam,A ,6942,0,0,Didam,Montferland,Gelderland,middle,275
133,Uden,B ,5401,0,0,Uden,Uden,Noord-Brabant,south,375
242,Apeldoorn  Eglantier,A ,7329,0,0,Apeldoorn,Apeldoorn,Gelderland,middle,275
381,Helmond-Brandevoort,AA,5708,0,0,Helmond,Helmond,Noord-Brabant,south,370
170,Wolvega,B ,8471,0,0,Wolvega,Weststellingwerf,Friesland,north,280
835,Tilburg-Westermarkt,A ,5042,0,0,Tilburg,Tilburg,Noord-Brabant,south,350
302,Utrecht-Vleuterweide,A ,3452,0,0,Vleuten,Utrecht,Utrecht,middle,260
181,Den Burg,B ,1791,0,0,Den Burg,Texel,Noord-Holland,north,251
157,Lisse,B ,2161,0,0,Lisse,Lisse,Zuid-Holland,middle,240
801,CS Praxis Groningen,B ,9723,0,0,Groningen,Groningen,Groningen,north,280
340,Rijen,A ,5121,0,0,Rijen,Gilze en Rijen,Noord-Brabant,south,350
275,Krommenie,A ,1561,0,0,Krommenie,Zaanstad,Noord-Holland,north,240
269,Lochem,A ,7241,0,0,Lochem,Lochem,Gelderland,middle,283
217,Maassluis,B ,3144,0,0,Maassluis,Maassluis,Zuid-Holland,middle,344
652,De Lier,AA,2678,0,0,De Lier,Westland,Zuid-Holland,middle,344
673,Rijnsburg,A ,2231,0,0,Rijnsburg,Katwijk,Zuid-Holland,middle,210
916,Anna paulowna,AA,1761,0,0,Anna Paulowna,Anna Paulowna,Noord-Holland,north,249
622,Ouddorp,A ,3253,1,0,Ouddorp (ZH),Goedereede,Zuid-Holland,middle,310
713,Varsseveld,AA,7051,0,0,Varsseveld,Oude IJsselstreek,Gelderland,middle,283
131,Veendam,B ,9641,0,0,Veendam,Veendam,Groningen,north,286
922,Groenlo,AA,7141,0,0,Groenlo,Groenlo,Gelderland,middle,283
207,Ermelo,B ,3851,0,0,Ermelo,Ermelo,Gelderland,middle,260
50,Deventer,C ,7411,0,0,Deventer,Deventer,Overijssel,north,278
303,Zevenbergen,A ,4761,0,0,Zevenbergen,Moerdijk,Noord-Brabant,south,340
902,Broek op Langedijk,A ,1721,0,0,Broek op Langedijk,Langedijk,Noord-Holland,north,240
182,Heiloo,B ,1851,0,0,Heiloo,Heiloo,Noord-Holland,north,240
256,Dongen,A ,5104,0,0,Dongen,Dongen,Noord-Brabant,south,350
529,HT Mobiele High Traffic 1,AA,8011,0,0,Zwolle,Zwolle,Overijssel,north,278
384,Deventer-Colmschate,AA,7429,0,0,Colmschate,Deventer,Overijssel,north,278
246,Utrecht-Hoog Catharijne,A ,3511,0,0,Utrecht,Utrecht,Utrecht,middle,260
190,Beilen,B ,9411,0,0,Beilen,Midden Drenthe,Drenthe,north,279
354,Hilversum Gijsbrecht,AA,1214,0,0,Hilversum,Hilversum,Noord-Holland,north,260
651,Mill,A ,5451,0,0,Mill,Mill en Sint Hubert,Noord-Brabant,south,375
279,R'dam Boulevard-Zuid,A ,3074,0,0,Rotterdam,Rotterdam,Zuid-Holland,middle,344
160,Putten,B ,3881,0,0,Putten,Putten,Gelderland,middle,260
77,Middelburg,B ,4331,0,0,Middelburg,Middelburg,Zeeland,south,310
318,Zwolle-Stadshagen,A ,8043,0,0,Zwolle,Zwolle,Overijssel,north,278
257,Heemskerk,A ,1961,1,0,Heemskerk,Heemskerk,Noord-Holland,north,235
166,Nunspeet,B ,8071,0,0,Nunspeet,Nunspeet,Gelderland,middle,278
149,Zierikzee,B ,4301,0,0,Zierikzee,Schouwen Duiveland,Zeeland,south,310
104,Heerenveen,C ,8442,0,0,Heerenveen,Heerenveen,Friesland,north,280
101,Roosendaal,C ,4701,0,0,Roosendaal,Roosendaal,Noord-Brabant,south,340
2156,Station Amsterdam Zuid WTC,A ,1082,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
970,Winsum,AA,1102,0,0,Amsterdam Zuidoost,Amsterdam,Noord-Holland,north,240
244,Gemert,A ,5421,0,0,Gemert,Gemert Bakel,Noord-Brabant,south,375
832,Eindhoven VERVALLEN,AA,1102,0,0,Amsterdam Zuidoost,Amsterdam,Noord-Holland,north,240
278,Haren,A ,9751,0,0,Haren (GN),Haren,Groningen,north,280
176,Ommen,B ,7731,0,0,Ommen,Ommen,Overijssel,north,278
315,Eindhoven - Woenselse Markt,A ,5612,0,0,Eindhoven,Eindhoven,Noord-Brabant,south,370
245,Klazienaveen,A ,7891,0,0,Klazienaveen,Emmen,Drenthe,north,286
394,R'dam-Nesselande,AA,3059,0,0,Rotterdam,Rotterdam,Zuid-Holland,middle,344
520,HT Stationslokatie A'dam Centr,AA,1012,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
627,Zetten,A ,6671,0,0,Zetten,Overbetuwe,Gelderland,south,356
261,R'dam-Hoogvliet,A ,3191,0,0,Hoogvliet Rotterdam,Rotterdam,Zuid-Holland,middle,344
373,Doesburg,AA,6981,0,0,Doesburg,Doesburg,Gelderland,south,275
397,R'dam Binnenhof,AA,3069,0,0,Rotterdam,Rotterdam,Zuid-Holland,middle,344
546,Rotterdam Lusthofstraat,A ,3061,0,0,Rotterdam,Rotterdam,Zuid-Holland,middle,344
285,Nootdorp,A ,2632,0,0,Nootdorp,Pijnacker Nootdorp,Zuid-Holland,middle,344
241,Horst,A ,5961,0,0,Horst,Horst aan de Maas,Limburg,south,391
319,Rhoon,A ,3161,0,0,Rhoon,Albrandswaard,Zuid-Holland,middle,344
336,Alkmaar Wendelaarstraat,A ,1814,0,0,Alkmaar,Alkmaar,Noord-Holland,north,240
117,Winterswijk,B ,7101,0,0,Winterswijk,Winterswijk,Gelderland,middle,283
824,Amsterdam NDSM-straat,A ,1033,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
907,Kollum,A ,9291,0,0,Kollum,Kollumerland en Nieuwkruisland,Friesland,north,270
328,Uithoorn,A ,1421,0,0,Uithoorn,Uithoorn,Noord-Holland,north,240
643,St.-Michielsgestel,A ,5271,0,0,Sint Michielsgestel,Sint Michielsgestel,Noord-Brabant,south,375
109,Veenendaal,C ,3901,0,0,Veenendaal,Veenendaal,Utrecht,middle,260
522,Stationslokatie Utrecht CS,AA,3511,0,0,Utrecht,Utrecht,Utrecht,middle,260
2058,OUTLET Tilburg,B ,5041,0,0,Tilburg,Tilburg,Noord-Brabant,south,350
810,Horeca Utrecht-Steenweg,AA,3511,0,0,Utrecht,Utrecht,Utrecht,middle,260
172,Appingedam,A ,9901,0,0,Appingedam,Appingedam,Groningen,north,280
363,Leeuwarden Zuiderburen,AA,8939,0,0,Leeuwarden,Leeuwarden,Friesland,north,270
807,CS Praxis Hoorn,B ,1625,0,0,Hoorn (NH),Hoorn,Noord-Holland,north,249
